flex-shrink-0 href,el-image__inner src,text-xl,text-xl,flex href,ml-1,ml-2,flex-shrink-0 src,text-xs,mt-2,text-xs 2,text-xs href,text-xs 3,text-xs href 2,text-xs 4,text-xs href 3
openai-sora,170805785194230635.jpg,Sora,空,https://openai.com/sora,1.7乙,37,https://www.toolify.ai/2.6.3/img/US.bd559c2.png,16.58%,从文本创建场景的 AI 模型。,文字转视频,text-to-video,大型语言模型 （LLM）,large-language-models-(llms),,
gemini-gemini-advanced,170815816559159278.jpg,Gemini,双子座,https://gemini.google.com/,316.1米,9,https://www.toolify.ai/2.6.3/img/US.bd559c2.png,21.60%,在手机上直接访问 Google 的 AI 模型。,写作助理,writing-assistants,AI 内容生成器,ai-content-generator,一般写作,general-writing
vidnoz-ai-video-translator,170722920591366612.jpg,Vidnoz AI Video Translator,Vidnoz AI 视频翻译器,https://www.vidnoz.com/video-translate.html?insur=en_md_toolify2,5.6米,6,https://www.toolify.ai/2.6.3/img/BR.bd8a5eb.png,11.84%,通过3个步骤将视频翻译成140+种语言,翻译,translate,字幕或副标题,captions-or-subtitle,,
gemma-open-models-by-google,170865835357381503.webp,Gemma,杰玛,https://ai.google.dev/gemma,3.6米,1,https://www.toolify.ai/2.6.3/img/US.bd559c2.png,22.09%,开源语言模型,大型语言模型 （LLM）,large-language-models-(llms),,,,
groq,170851101575539048.jpg,Groq,格罗克,https://groq.com/,2.4米,2,https://www.toolify.ai/2.6.3/img/US.bd559c2.png,23.18%,GroqLabs 的 AI 语言界面,大型语言模型 （LLM）,large-language-models-(llms),AI聊天机器人,ai-chatbot,,
stable-diffusion-web,170895933660130535.webp,Stable Diffusion Online,在线稳定扩散,https://stablediffusionweb.com/,1.8米,3,https://www.toolify.ai/2.6.3/img/US.bd559c2.png,17.72%,用于图像生成的深度学习模型,文字转视频,text-to-video,,,,
immersive-translate,170835481370016449.jpg,Immersive Translate,沉浸式翻译,https://immersivetranslate.com/en/?utm_source=toolify&utm_medium=web&utm_campaign=toolify_240219,1.3米,2,data:image/png;base64，iVBORw0KGgoAAAANSUhEUgAAAD8AAAAtCAMAAAAun0N9AAAAb1BMVEXeKQ/eJg7hOw3dIw/gMA3/3gDfKg7gMw3gLA7iPwzjRwvpawj/4gDdIA7gOA3tfwfzogX3tQPlUwvkTQvnWgrrdgjxlwX4uQL8zgH+2QD90wDrcgfwkAbvhwb0qAT6xAL7ygHoZAv4vwP1rAPnZAi5d1rFAAABAUlEQVRIx+zSy3KDMAwF0Ot3DAbbvCG8kvT/v7HMJNDpzoZNFz0brSSNNBd/0k1RXEDrcSLxS/O9h9fGV7EDpB4Z3rQd7xki8XTl+GA8IfKGKLkbUoYdga4SHdxLKS2G3qmt8s85pVtrFvi5+tX6pxC9974p3k0qbZc7QtnOGCGE6V9Ftl+QfIEjECtbsRkmznCQiPAwwohWEhwIInBnhkWsD4YDVxETaLfYYu6a7PgpTS0NjoAsfJUxNc38J07PrlbB2a90BhCUCTne37iKIRQhvwogaUkTglO41gkjG5yT312T4zxl+7nEaTJPbZrhAiYVriH4971RMApGwSigJQAAXjQKuVnwknMAAAAASUVORK5CYII=,59.07%,免费的双语网页翻译和文档翻译工具。,翻译,translate,,,,
cici-ai,170862020221199759.png,Cici AI,慈禧人工智能,https://www.ciciai.com/,1.2米,1,https://www.toolify.ai/2.6.3/img/PH.f27d30f.png,36.93%,用于智能对话等的 AI 聊天助手。,AI聊天机器人,ai-chatbot,,,,
domo-ai,170902618414483946.webp,DomoAI,DomoAI公司,https://domoai.app/,657.1K,5,data:image/png;base64，iVBORw0KGgoAAAANSUhEUgAAAD8AAAAtCAMAAAAun0N9AAABIFBMVEX/mTMTiAj/////ly8PhgT/qlc3mC3M4cn/7+Pd3enS0uJ/gK56e6v+/v/5+fzAwNe8vNSqq8mVlryUlLr/sFr8/P3v7/Xj4+7Z2ebW1+bU1OPOz+DMzN/Jydyyss+np8eio8Q4my709Pjg3+vLyt3Hxtq5udKfocONjreIirSChbB7f69vcKVPUpPm5/D/8OT/8OPCwtivss6trszN48uensCKjbWFhrOar6t3eKhzdahycqZqaqJpa6FaXZk7QIf/rFg8njH29/rh5O/a2ej36N7z49q0ttDg0M/aysvK3sjH28bKusHGtr/Bsr2YmL2Ymry2zLuQj7qxxriOkLeht65tbaNkZJ9iY5xTWZhISo1FR4wqMH0SGm87njA3mC7xBW5xAAABI0lEQVRIx+3S1W7DMBiGYa/bujkMC3MxDZSZO2ZmvP+7mHYBjuTmcHmOv1e/ZBlkMpn1baYDthMs9/4skyZgF6nRPD67ur48PWo00SOQQ2I0d/wWz8P2AY0eoft9djSy1aLZi/o6g98zJcrX6nqJgFbgQxq7Vx4DU604rsOpFZKXcXvJDKt6RZxMqWrZEPoQty9wAmf2nt8XMcXrTo2gMXvZFi1DfP38WkQuPBmUGdz77G1L48fxx5y0ix38+5IRVg85gZqQrkUIfhH7/esCWYYs7/At2KHaBexeIsiAkFVDU1hKVNb4f0yJnN1YBFebiVBK6JFoxR5MX6J7Vs6hgR207sXDcPh0d95N2IA82o/nrVbfnpdPALbSARvpZH3W/+f+F5dDMB22cvV8AAAAAElFTkSuQmCC,25.75%,人工智能驱动的艺术生成器,AI动画视频,ai-animated-video,AI动漫和卡通生成器,ai-anime-cartoon-generator,视频到视频,video-to-video
yeschat,170815406425763853.jpg,YesChat,YesChat（是聊天室）,https://yeschat.ai/,599.6千米,8,data:image/png;base64，iVBORw0KGgoAAAANSUhEUgAAAD8AAAAtCAMAAAAun0N9AAAAb1BMVEXeKQ/eJg7hOw3dIw/gMA3/3gDfKg7gMw3gLA7iPwzjRwvpawj/4gDdIA7gOA3tfwfzogX3tQPlUwvkTQvnWgrrdgjxlwX4uQL8zgH+2QD90wDrcgfwkAbvhwb0qAT6xAL7ygHoZAv4vwP1rAPnZAi5d1rFAAABAUlEQVRIx+zSy3KDMAwF0Ot3DAbbvCG8kvT/v7HMJNDpzoZNFz0brSSNNBd/0k1RXEDrcSLxS/O9h9fGV7EDpB4Z3rQd7xki8XTl+GA8IfKGKLkbUoYdga4SHdxLKS2G3qmt8s85pVtrFvi5+tX6pxC9974p3k0qbZc7QtnOGCGE6V9Ftl+QfIEjECtbsRkmznCQiPAwwohWEhwIInBnhkWsD4YDVxETaLfYYu6a7PgpTS0NjoAsfJUxNc38J07PrlbB2a90BhCUCTne37iKIRQhvwogaUkTglO41gkjG5yT312T4zxl+7nEaTJPbZrhAiYVriH4971RMApGwSigJQAAXjQKuVnwknMAAAAASUVORK5CYII=,48.98%,由 Claude 2 提供支持的高级聊天机器人，用于免费对话。,AI聊天机器人,ai-chatbot,大型语言模型 （LLM）,large-language-models-(llms),,
ttsmp3-com,170839367162181069.jpg,ttsMP3.com,ttsMP3.com,https://ttsmp3.com/,563，8千米,0,https://www.toolify.ai/2.6.3/img/US.bd559c2.png,20.15%,免费的类人文本转语音。,其他,other,,,,
carepatron,170783023614191338.jpg,Carepatron,护理赞助人,https://www.carepatron.com/,488.8千米,2,https://www.toolify.ai/2.6.3/img/US.bd559c2.png,50.26%,通过可定制的工具和工作流程提高客户成果、效率和生产力,医疗,healthcare,,,,
crayo-ai,170842697339283472.jpg,Crayo,蜡笔,https://crayo.ai/,476，4千米,14,https://www.toolify.ai/2.6.3/img/US.bd559c2.png,26.17%,在几秒钟内创建病毒式 TikTok 剪辑！,AI Instagram 助手,ai-instagram-assistant,AI Tiktok 助手,ai-tiktok-assistant,AI Repurpose 助手,ai-repurpose-assistant
huntr-ai,170841402526846906.jpg,Huntr,猎人,https://huntr.co/,472，5千米,0,https://www.toolify.ai/2.6.3/img/US.bd559c2.png,67.21%,使用 AI 快速创建量身定制的简历和求职信,简历生成器,ai-resume-builder,AI 分析助手,ai-analytics-assistant,人工智能招聘,ai-recruiting
snapxam,170831834586258083.jpg,SnapXam,SnapXam的,https://www.snapxam.com/,467.1千米,0,https://www.toolify.ai/2.6.3/img/US.bd559c2.png,36.40%,人工智能驱动的数学和物理导师,家庭作业助手,ai-homework-helper,AI教程,ai-tutorial,AI教育助手,ai-education-assistant
nextui-pro,170731996494122191.jpg,NextUI,下一个UI,https://www.nextui.pro/,461.3千米,1,data:image/png;base64，iVBORw0KGgoAAAANSUhEUgAAAD8AAAAtBAMAAADrb658AAAAGFBMVEX/zgEAAADeHwD/1AHmTADKGwDcGQAgAwBJ+7sLAAAANUlEQVQ4y2MQxA8ERhUMJQXl+EEBQyh+EMCghB8ojCqgn4I0/CCBwQU/cGAwxg8MGEbBMAIAJpmFooxAK6IAAAAASUVORK5CYII=,9.92%,用于 AI 驱动的 Web 应用程序和电子商务的 React 组件的高级集合。,AI网站设计师,ai-website-designer,,,,
goody-2,170771588353831933.jpg,GOODY-2,GOODY-2型,https://www.goody2.ai/,407，5千米赛,0,https://www.toolify.ai/2.6.3/img/US.bd559c2.png,40.19%,世界上最负责任的人工智能模型。,AI聊天机器人,ai-chatbot,,,,
